attrition_id,employee_id,department,tenure_years,performance_status,attrition_risk,risk_score,exit_status
ATTR0000001,EMP00001,Finance,0,Poor,Low,24,Active
ATTR0000002,EMP00002,Marketing,10,Average,High,99,Active
ATTR0000003,EMP00003,IT,8,Excellent,Low,35,Active
ATTR0000004,EMP00004,HR,4,Poor,Medium,62,Active
ATTR0000005,EMP00005,IT,2,Excellent,Low,48,Resigned
ATTR0000006,EMP00006,HR,8,Poor,Medium,63,Active
ATTR0000007,EMP00007,IT,6,Good,Low,41,Active
ATTR0000008,EMP00008,Marketing,8,Excellent,Low,20,Active
ATTR0000009,EMP00009,Operations,1,Poor,Low,34,Active
ATTR0000010,EMP00010,Marketing,0,Poor,High,93,Active
ATTR0000011,EMP00011,Sales,3,Average,High,79,Active
ATTR0000012,EMP00012,Marketing,1,Poor,High,88,Active
ATTR0000013,EMP00013,Marketing,11,Average,Low,26,Active
ATTR0000014,EMP00014,IT,7,Poor,Medium,55,Active
ATTR0000015,EMP00015,HR,7,Excellent,High,91,Active
ATTR0000016,EMP00016,Operations,7,Average,Medium,62,Active
ATTR0000017,EMP00017,Marketing,6,Good,High,92,Active
ATTR0000018,EMP00018,IT,7,Excellent,High,77,Active
ATTR0000019,EMP00019,IT,0,Good,Medium,54,Active
ATTR0000020,EMP00020,IT,9,Average,Medium,56,Active
ATTR0000021,EMP00021,Marketing,5,Average,Low,25,Active
ATTR0000022,EMP00022,IT,8,Good,High,87,Active
ATTR0000023,EMP00023,HR,1,Poor,Low,23,Resigned
ATTR0000024,EMP00024,IT,8,Good,Low,35,Active
ATTR0000025,EMP00025,IT,11,Average,Medium,67,Active
ATTR0000026,EMP00026,IT,11,Poor,Low,25,Active
ATTR0000027,EMP00027,Operations,9,Average,High,99,Resigned
ATTR0000028,EMP00028,HR,11,Poor,Low,35,Active
ATTR0000029,EMP00029,HR,6,Average,Medium,55,Active
ATTR0000030,EMP00030,Finance,8,Average,Medium,61,Active
ATTR0000031,EMP00031,Marketing,10,Average,High,100,Active
ATTR0000032,EMP00032,Marketing,5,Excellent,Low,30,Active
ATTR0000033,EMP00033,Operations,8,Good,Low,42,Active
ATTR0000034,EMP00034,Finance,5,Excellent,Low,31,Active
ATTR0000035,EMP00035,Marketing,9,Average,High,83,Active
ATTR0000036,EMP00036,IT,11,Good,High,82,Active
ATTR0000037,EMP00037,Operations,4,Excellent,High,88,Active
ATTR0000038,EMP00038,Marketing,5,Excellent,Low,40,Active
ATTR0000039,EMP00039,HR,8,Poor,Medium,73,Active
ATTR0000040,EMP00040,Finance,7,Excellent,Medium,72,Active
ATTR0000041,EMP00041,Sales,6,Average,High,85,Active
ATTR0000042,EMP00042,Sales,3,Good,High,89,Active
ATTR0000043,EMP00043,Operations,7,Average,Low,43,Active
ATTR0000044,EMP00044,Sales,4,Average,High,79,Active
ATTR0000045,EMP00045,Sales,3,Poor,Medium,58,Active
ATTR0000046,EMP00046,HR,11,Excellent,Low,48,Active
ATTR0000047,EMP00047,HR,7,Excellent,Medium,52,Resigned
ATTR0000048,EMP00048,Operations,1,Poor,High,84,Active
ATTR0000049,EMP00049,Sales,5,Average,High,90,Active
ATTR0000050,EMP00050,Sales,1,Excellent,Low,24,Active
ATTR0000051,EMP00051,HR,2,Good,High,80,Resigned
ATTR0000052,EMP00052,Finance,9,Good,High,77,Active
ATTR0000053,EMP00053,HR,5,Average,Medium,59,Active
ATTR0000054,EMP00054,Marketing,4,Poor,Low,42,Active
ATTR0000055,EMP00055,HR,8,Average,High,79,Active
ATTR0000056,EMP00056,HR,2,Good,Low,40,Active
ATTR0000057,EMP00057,Operations,8,Excellent,Low,23,Active
ATTR0000058,EMP00058,Sales,1,Excellent,Low,29,Active
ATTR0000059,EMP00059,Sales,5,Good,Low,39,Resigned
ATTR0000060,EMP00060,Marketing,5,Good,High,90,Active
ATTR0000061,EMP00061,Sales,11,Poor,Low,33,Active
ATTR0000062,EMP00062,Operations,2,Poor,Medium,67,Active
ATTR0000063,EMP00063,Finance,9,Average,Low,43,Resigned
ATTR0000064,EMP00064,Marketing,10,Excellent,Medium,51,Resigned
ATTR0000065,EMP00065,Finance,4,Poor,High,81,Active
ATTR0000066,EMP00066,Finance,6,Good,Low,36,Active
ATTR0000067,EMP00067,Marketing,3,Poor,Medium,63,Active
ATTR0000068,EMP00068,HR,10,Excellent,Low,49,Resigned
ATTR0000069,EMP00069,IT,6,Excellent,High,81,Active
ATTR0000070,EMP00070,IT,0,Average,Low,42,Active
ATTR0000071,EMP00071,Marketing,9,Excellent,High,100,Active
ATTR0000072,EMP00072,Marketing,5,Poor,Low,29,Active
ATTR0000073,EMP00073,Operations,0,Excellent,Low,35,Active
ATTR0000074,EMP00074,IT,0,Good,Medium,61,Active
ATTR0000075,EMP00075,HR,0,Average,Low,37,Resigned
ATTR0000076,EMP00076,Operations,4,Good,Medium,65,Active
ATTR0000077,EMP00077,Operations,3,Excellent,Low,36,Active
ATTR0000078,EMP00078,Sales,7,Average,Low,40,Active
ATTR0000079,EMP00079,HR,3,Poor,Medium,56,Resigned
ATTR0000080,EMP00080,Marketing,3,Average,Medium,62,Active
ATTR0000081,EMP00081,Sales,7,Excellent,Medium,54,Active
ATTR0000082,EMP00082,Sales,3,Average,High,83,Active
ATTR0000083,EMP00083,Sales,2,Excellent,Medium,63,Active
ATTR0000084,EMP00084,Finance,5,Excellent,Medium,64,Active
ATTR0000085,EMP00085,HR,10,Poor,Medium,69,Active
ATTR0000086,EMP00086,Operations,4,Average,Low,33,Active
ATTR0000087,EMP00087,Operations,9,Excellent,High,91,Resigned
ATTR0000088,EMP00088,IT,10,Poor,Low,32,Resigned
ATTR0000089,EMP00089,Marketing,6,Poor,Low,32,Resigned
ATTR0000090,EMP00090,Marketing,7,Excellent,Medium,69,Active
ATTR0000091,EMP00091,Finance,2,Good,High,75,Active
ATTR0000092,EMP00092,Marketing,1,Poor,Medium,58,Active
ATTR0000093,EMP00093,HR,2,Good,High,75,Active
ATTR0000094,EMP00094,Finance,2,Good,Low,36,Active
ATTR0000095,EMP00095,Sales,6,Average,Low,31,Active
ATTR0000096,EMP00096,Marketing,4,Average,Low,27,Active
ATTR0000097,EMP00097,Operations,4,Poor,Low,45,Active
ATTR0000098,EMP00098,Finance,6,Excellent,Low,30,Active
ATTR0000099,EMP00099,Finance,3,Average,Medium,65,Resigned
ATTR0000100,EMP00100,Operations,1,Good,High,79,Active
ATTR0000101,EMP00101,Finance,5,Average,Low,35,Active
ATTR0000102,EMP00102,IT,7,Good,Low,46,Active
ATTR0000103,EMP00103,Sales,6,Excellent,High,89,Active
ATTR0000104,EMP00104,Finance,10,Average,High,87,Active
ATTR0000105,EMP00105,Operations,3,Excellent,High,100,Active
ATTR0000106,EMP00106,HR,2,Poor,Low,42,Active
ATTR0000107,EMP00107,Operations,5,Good,Medium,57,Resigned
ATTR0000108,EMP00108,Operations,7,Average,Low,29,Active
ATTR0000109,EMP00109,IT,6,Excellent,Medium,55,Active
ATTR0000110,EMP00110,Operations,5,Excellent,Medium,57,Active
ATTR0000111,EMP00111,Marketing,9,Good,High,100,Resigned
ATTR0000112,EMP00112,IT,6,Poor,High,85,Active
ATTR0000113,EMP00113,Finance,7,Poor,Low,35,Resigned
ATTR0000114,EMP00114,Sales,4,Good,Low,43,Active
ATTR0000115,EMP00115,Marketing,5,Average,Medium,67,Active
ATTR0000116,EMP00116,IT,7,Average,Low,23,Resigned
ATTR0000117,EMP00117,Operations,3,Poor,High,82,Active
ATTR0000118,EMP00118,Sales,4,Average,Medium,56,Active
ATTR0000119,EMP00119,Finance,10,Poor,High,78,Active
ATTR0000120,EMP00120,Marketing,3,Average,Medium,60,Active
ATTR0000121,EMP00121,Sales,0,Poor,Low,31,Active
ATTR0000122,EMP00122,Operations,11,Good,High,91,Active
ATTR0000123,EMP00123,IT,6,Poor,Low,20,Active
ATTR0000124,EMP00124,IT,9,Average,High,93,Resigned
ATTR0000125,EMP00125,HR,2,Good,High,78,Active
ATTR0000126,EMP00126,Finance,2,Poor,High,86,Active
ATTR0000127,EMP00127,IT,5,Excellent,Low,39,Active
ATTR0000128,EMP00128,Operations,4,Poor,Low,35,Active
ATTR0000129,EMP00129,IT,3,Good,High,77,Active
ATTR0000130,EMP00130,HR,4,Good,Medium,72,Active
ATTR0000131,EMP00131,HR,2,Good,Low,20,Active
ATTR0000132,EMP00132,Finance,4,Excellent,High,76,Active
ATTR0000133,EMP00133,Marketing,1,Poor,Low,36,Active
ATTR0000134,EMP00134,Finance,4,Poor,Low,44,Active
ATTR0000135,EMP00135,Finance,6,Poor,Medium,74,Active
ATTR0000136,EMP00136,IT,10,Good,High,86,Resigned
ATTR0000137,EMP00137,IT,3,Average,Low,24,Resigned
ATTR0000138,EMP00138,Sales,9,Excellent,High,82,Resigned
ATTR0000139,EMP00139,Sales,1,Excellent,High,84,Active
ATTR0000140,EMP00140,Finance,5,Good,Low,29,Resigned
ATTR0000141,EMP00141,Sales,2,Excellent,Medium,61,Active
ATTR0000142,EMP00142,Sales,3,Poor,Medium,68,Active
ATTR0000143,EMP00143,Marketing,1,Poor,Low,41,Active
ATTR0000144,EMP00144,Finance,9,Average,Medium,50,Active
ATTR0000145,EMP00145,IT,5,Poor,Medium,63,Active
ATTR0000146,EMP00146,Operations,11,Good,Low,40,Resigned
ATTR0000147,EMP00147,Finance,0,Good,Medium,58,Active
ATTR0000148,EMP00148,Finance,9,Average,High,86,Active
ATTR0000149,EMP00149,Sales,8,Average,High,93,Resigned
ATTR0000150,EMP00150,HR,0,Good,High,85,Resigned
ATTR0000151,EMP00151,Sales,10,Average,High,94,Active
ATTR0000152,EMP00152,IT,5,Poor,Medium,71,Active
ATTR0000153,EMP00153,Finance,5,Good,High,91,Resigned
ATTR0000154,EMP00154,Finance,2,Excellent,Medium,50,Active
ATTR0000155,EMP00155,Marketing,6,Poor,Medium,69,Active
ATTR0000156,EMP00156,Marketing,7,Excellent,Low,38,Active
ATTR0000157,EMP00157,Finance,5,Good,High,78,Active
ATTR0000158,EMP00158,Operations,2,Excellent,Medium,51,Active
ATTR0000159,EMP00159,Sales,9,Good,Medium,66,Resigned
ATTR0000160,EMP00160,Finance,7,Poor,High,100,Active
ATTR0000161,EMP00161,Finance,5,Excellent,Low,39,Active
ATTR0000162,EMP00162,Marketing,10,Excellent,Medium,58,Resigned
ATTR0000163,EMP00163,Sales,1,Good,High,91,Active
ATTR0000164,EMP00164,Operations,11,Excellent,Medium,72,Active
ATTR0000165,EMP00165,Marketing,0,Good,High,81,Active
ATTR0000166,EMP00166,HR,5,Average,Low,27,Resigned
ATTR0000167,EMP00167,Finance,11,Excellent,High,100,Resigned
ATTR0000168,EMP00168,IT,9,Poor,High,100,Active
ATTR0000169,EMP00169,Operations,4,Average,High,90,Active
ATTR0000170,EMP00170,Sales,8,Excellent,Medium,59,Active
ATTR0000171,EMP00171,IT,4,Poor,Medium,61,Active
ATTR0000172,EMP00172,HR,6,Good,Medium,72,Active
ATTR0000173,EMP00173,Marketing,6,Excellent,Medium,54,Active
ATTR0000174,EMP00174,HR,3,Excellent,Medium,72,Active
ATTR0000175,EMP00175,Marketing,10,Excellent,Low,28,Active
ATTR0000176,EMP00176,IT,10,Average,Low,48,Resigned
ATTR0000177,EMP00177,Sales,1,Excellent,High,93,Active
ATTR0000178,EMP00178,Operations,10,Excellent,Low,48,Active
ATTR0000179,EMP00179,HR,7,Average,Low,35,Active
