hiring_id,employee_id,application_date,interview_date,joining_date,source,lead_time_days,status
HIRE0000001,EMP00001,2025-04-11,2025-04-16,2025-09-25,Naukri,167,Joined
HIRE0000002,EMP00002,2024-06-17,2024-06-22,2015-11-19,Campus,-3133,Joined
HIRE0000003,EMP00003,2024-04-30,2024-05-15,2017-08-11,Campus,-2454,Joined
HIRE0000004,EMP00004,2024-07-15,2024-07-21,2022-02-13,Employee Referral,-883,Joined
HIRE0000005,EMP00005,2024-07-30,2024-08-09,2024-03-20,Campus,-132,Joined
HIRE0000006,EMP00006,2025-07-25,2025-08-07,2017-12-20,Campus,-2774,Joined
HIRE0000007,EMP00007,2023-08-07,2023-08-21,2020-07-14,Indeed,-1119,Joined
HIRE0000008,EMP00008,2025-05-24,2025-06-07,2017-10-26,Employee Referral,-2767,Joined
HIRE0000009,EMP00009,2025-05-19,2025-06-02,2024-10-27,LinkedIn,-204,Joined
HIRE0000010,EMP00010,2024-08-14,2024-08-21,2025-09-10,LinkedIn,392,Joined
HIRE0000011,EMP00011,2024-07-04,2024-07-14,2023-03-17,Indeed,-475,Joined
HIRE0000012,EMP00012,2024-12-19,2024-12-27,2025-06-01,Employee Referral,164,Joined
HIRE0000013,EMP00013,2024-09-18,2024-09-24,2015-03-28,Consultancy,-3462,Joined
HIRE0000014,EMP00014,2025-03-27,2025-04-04,2018-09-15,LinkedIn,-2385,Joined
HIRE0000015,EMP00015,2025-07-11,2025-07-21,2019-07-26,Indeed,-2177,Joined
HIRE0000016,EMP00016,2025-01-03,2025-01-11,2019-07-08,LinkedIn,-2006,Joined
HIRE0000017,EMP00017,2024-06-11,2024-06-16,2019-12-21,Indeed,-1634,Joined
HIRE0000018,EMP00018,2024-08-01,2024-08-09,2019-07-01,Employee Referral,-1858,Joined
HIRE0000019,EMP00019,2025-01-01,2025-01-15,2025-11-11,Indeed,314,Joined
HIRE0000020,EMP00020,2024-11-11,2024-11-24,2017-01-31,Indeed,-2841,Joined
HIRE0000021,EMP00021,2023-08-20,2023-09-01,2021-07-18,Employee Referral,-763,Joined
HIRE0000022,EMP00022,2024-11-19,2024-12-02,2018-07-19,Naukri,-2315,Joined
HIRE0000023,EMP00023,2024-02-13,2024-02-21,2024-11-10,Indeed,271,Joined
HIRE0000024,EMP00024,2023-11-23,2023-12-04,2017-12-19,Indeed,-2165,Joined
HIRE0000025,EMP00025,2024-02-10,2024-02-18,2015-07-28,LinkedIn,-3119,Joined
HIRE0000026,EMP00026,2024-08-30,2024-09-06,2015-02-09,Campus,-3490,Joined
HIRE0000027,EMP00027,2025-04-13,2025-04-18,2017-05-10,LinkedIn,-2895,Joined
HIRE0000028,EMP00028,2023-10-08,2023-10-18,2015-04-12,Indeed,-3101,Joined
HIRE0000029,EMP00029,2025-07-29,2025-08-12,2020-04-11,LinkedIn,-1935,Joined
HIRE0000030,EMP00030,2025-07-31,2025-08-11,2018-02-17,Consultancy,-2721,Joined
HIRE0000031,EMP00031,2024-10-18,2024-10-25,2016-03-20,Naukri,-3134,Joined
HIRE0000032,EMP00032,2023-11-13,2023-11-23,2020-10-30,Naukri,-1109,Joined
HIRE0000033,EMP00033,2024-01-02,2024-01-11,2018-06-20,Indeed,-2022,Joined
HIRE0000034,EMP00034,2024-04-30,2024-05-08,2021-05-20,Employee Referral,-1076,Joined
HIRE0000035,EMP00035,2023-12-24,2024-01-08,2017-05-25,Naukri,-2404,Joined
HIRE0000036,EMP00036,2024-11-23,2024-11-30,2015-04-11,LinkedIn,-3514,Joined
HIRE0000037,EMP00037,2025-02-28,2025-03-06,2022-05-11,Campus,-1024,Joined
HIRE0000038,EMP00038,2023-11-25,2023-12-03,2020-12-15,Campus,-1075,Joined
HIRE0000039,EMP00039,2025-06-24,2025-07-06,2017-11-27,Campus,-2766,Joined
HIRE0000040,EMP00040,2024-08-31,2024-09-12,2018-10-07,Consultancy,-2155,Joined
HIRE0000041,EMP00041,2024-09-26,2024-10-07,2020-03-23,Consultancy,-1648,Joined
HIRE0000042,EMP00042,2025-02-26,2025-03-13,2023-06-14,Indeed,-623,Joined
HIRE0000043,EMP00043,2024-07-23,2024-08-01,2018-10-08,LinkedIn,-2115,Joined
HIRE0000044,EMP00044,2025-06-01,2025-06-16,2022-03-17,Indeed,-1172,Joined
HIRE0000045,EMP00045,2025-02-06,2025-02-12,2023-06-08,LinkedIn,-609,Joined
HIRE0000046,EMP00046,2024-10-29,2024-11-04,2015-05-08,Naukri,-3462,Joined
HIRE0000047,EMP00047,2025-07-28,2025-08-08,2019-02-19,Naukri,-2351,Joined
HIRE0000048,EMP00048,2025-04-19,2025-04-26,2025-07-23,Campus,95,Joined
HIRE0000049,EMP00049,2024-03-25,2024-04-01,2020-12-22,Campus,-1189,Joined
HIRE0000050,EMP00050,2025-05-26,2025-06-02,2024-12-30,LinkedIn,-147,Joined
HIRE0000051,EMP00051,2025-07-14,2025-07-25,2024-07-20,Campus,-359,Joined
HIRE0000052,EMP00052,2024-04-02,2024-04-12,2017-05-18,LinkedIn,-2511,Joined
HIRE0000053,EMP00053,2023-08-25,2023-09-07,2021-03-24,Indeed,-884,Joined
HIRE0000054,EMP00054,2024-01-16,2024-01-26,2022-06-12,Indeed,-583,Joined
HIRE0000055,EMP00055,2025-01-16,2025-01-30,2017-10-26,Consultancy,-2639,Joined
HIRE0000056,EMP00056,2024-09-23,2024-09-28,2024-05-03,Employee Referral,-143,Joined
HIRE0000057,EMP00057,2023-10-31,2023-11-14,2018-04-11,Campus,-2029,Joined
HIRE0000058,EMP00058,2025-03-10,2025-03-25,2025-07-21,Campus,133,Joined
HIRE0000059,EMP00059,2024-09-02,2024-09-10,2021-04-04,Campus,-1247,Joined
HIRE0000060,EMP00060,2023-10-10,2023-10-25,2021-05-18,Employee Referral,-875,Joined
HIRE0000061,EMP00061,2023-08-24,2023-08-29,2015-01-11,LinkedIn,-3147,Joined
HIRE0000062,EMP00062,2024-08-21,2024-08-27,2023-11-01,Campus,-294,Joined
HIRE0000063,EMP00063,2024-12-10,2024-12-24,2016-11-10,Indeed,-2952,Joined
HIRE0000064,EMP00064,2025-04-29,2025-05-10,2015-11-26,Employee Referral,-3442,Joined
HIRE0000065,EMP00065,2025-06-30,2025-07-15,2022-07-16,Naukri,-1080,Joined
HIRE0000066,EMP00066,2024-06-15,2024-06-26,2020-04-09,Consultancy,-1528,Joined
HIRE0000067,EMP00067,2025-05-13,2025-05-18,2023-07-13,Indeed,-670,Joined
HIRE0000068,EMP00068,2024-06-23,2024-07-07,2015-08-11,Indeed,-3239,Joined
HIRE0000069,EMP00069,2025-05-12,2025-05-20,2020-06-08,Campus,-1799,Joined
HIRE0000070,EMP00070,2023-08-21,2023-09-01,2025-08-15,Indeed,725,Joined
HIRE0000071,EMP00071,2024-03-15,2024-03-21,2017-02-19,Consultancy,-2581,Joined
HIRE0000072,EMP00072,2023-11-12,2023-11-26,2021-08-01,Employee Referral,-833,Joined
HIRE0000073,EMP00073,2023-09-27,2023-10-07,2025-12-31,Employee Referral,826,Joined
HIRE0000074,EMP00074,2025-03-09,2025-03-18,2025-10-26,Consultancy,231,Joined
HIRE0000075,EMP00075,2024-09-16,2024-09-22,2025-11-16,Employee Referral,426,Joined
HIRE0000076,EMP00076,2025-01-19,2025-01-31,2022-01-11,Indeed,-1104,Joined
HIRE0000077,EMP00077,2024-01-28,2024-02-02,2023-07-12,Naukri,-200,Joined
HIRE0000078,EMP00078,2024-12-09,2024-12-14,2019-03-16,LinkedIn,-2095,Joined
HIRE0000079,EMP00079,2024-01-26,2024-02-06,2022-08-30,Indeed,-514,Joined
HIRE0000080,EMP00080,2024-12-28,2025-01-02,2022-08-07,Campus,-874,Joined
HIRE0000081,EMP00081,2024-03-29,2024-04-05,2019-04-25,Campus,-1800,Joined
HIRE0000082,EMP00082,2024-07-06,2024-07-20,2023-05-11,Consultancy,-422,Joined
HIRE0000083,EMP00083,2024-02-22,2024-02-29,2023-11-05,Employee Referral,-109,Joined
HIRE0000084,EMP00084,2024-09-16,2024-09-29,2021-01-18,Consultancy,-1337,Joined
HIRE0000085,EMP00085,2025-06-18,2025-06-30,2016-07-30,Campus,-3245,Joined
HIRE0000086,EMP00086,2025-05-24,2025-06-01,2022-07-18,Campus,-1041,Joined
