performance_id,employee_id,review_period,manager_rating,performance_score,productivity_score,training_hours,promotion_eligible,bonus_percentage
PERF0000001,EMP00001,2025-H1,4,2.8,68,40,Yes,8
PERF0000002,EMP00001,2025-H2,4,2.66,78,2,No,5
PERF0000003,EMP00002,2025-H1,3,2.76,82,40,No,5
PERF0000004,EMP00002,2025-H2,3,3.78,97,22,Yes,10
PERF0000005,EMP00003,2025-H1,5,3.53,69,5,No,0
PERF0000006,EMP00003,2025-H2,2,3.65,94,0,No,15
PERF0000007,EMP00004,2025-H1,5,3.28,71,55,No,5
PERF0000008,EMP00004,2025-H2,2,2.78,60,39,Yes,10
PERF0000009,EMP00005,2025-H1,3,4.75,66,32,No,0
PERF0000010,EMP00005,2025-H2,4,2.86,65,39,Yes,0
PERF0000011,EMP00006,2025-H1,3,3.65,92,33,No,12
PERF0000012,EMP00006,2025-H2,5,4.89,91,6,No,0
PERF0000013,EMP00007,2025-H1,3,3.42,96,15,Yes,5
PERF0000014,EMP00007,2025-H2,2,3.77,65,12,No,12
PERF0000015,EMP00008,2025-H1,3,3.74,75,39,Yes,0
PERF0000016,EMP00008,2025-H2,2,3.85,94,16,No,15
PERF0000017,EMP00009,2025-H1,4,2.67,76,4,Yes,15
PERF0000018,EMP00009,2025-H2,4,2.66,60,3,Yes,0
PERF0000019,EMP00010,2025-H1,2,3.29,78,44,Yes,5
PERF0000020,EMP00010,2025-H2,4,4.88,97,55,Yes,8
PERF0000021,EMP00011,2025-H1,2,4.08,80,49,No,15
PERF0000022,EMP00011,2025-H2,5,3.55,63,46,Yes,5
PERF0000023,EMP00012,2025-H1,5,4.35,63,41,No,0
PERF0000024,EMP00012,2025-H2,4,2.61,72,25,No,12
PERF0000025,EMP00013,2025-H1,4,2.95,70,31,Yes,12
PERF0000026,EMP00013,2025-H2,2,3.45,71,21,Yes,12
PERF0000027,EMP00014,2025-H1,5,2.86,84,35,Yes,12
PERF0000028,EMP00014,2025-H2,4,4.86,99,52,No,12
PERF0000029,EMP00015,2025-H1,4,2.64,100,36,Yes,12
PERF0000030,EMP00015,2025-H2,4,3.72,82,7,Yes,0
PERF0000031,EMP00016,2025-H1,2,4.58,80,45,No,12
PERF0000032,EMP00016,2025-H2,4,3.01,84,38,No,12
PERF0000033,EMP00017,2025-H1,5,4.81,85,22,Yes,10
PERF0000034,EMP00017,2025-H2,5,3.25,80,14,Yes,10
PERF0000035,EMP00018,2025-H1,3,3.04,69,25,Yes,12
PERF0000036,EMP00018,2025-H2,5,3.56,83,9,No,15
PERF0000037,EMP00019,2025-H1,2,3.87,72,12,Yes,15
PERF0000038,EMP00019,2025-H2,2,2.74,92,29,No,12
PERF0000039,EMP00020,2025-H1,2,4.95,68,39,Yes,15
PERF0000040,EMP00020,2025-H2,5,3.81,92,54,No,12
PERF0000041,EMP00021,2025-H1,3,3.0,67,23,Yes,0
PERF0000042,EMP00021,2025-H2,5,4.54,79,26,No,0
PERF0000043,EMP00022,2025-H1,4,3.74,73,59,No,12
PERF0000044,EMP00022,2025-H2,3,3.6,80,44,Yes,10
PERF0000045,EMP00023,2025-H1,4,4.88,68,51,No,8
PERF0000046,EMP00023,2025-H2,2,4.28,73,30,No,0
PERF0000047,EMP00024,2025-H1,5,4.05,97,10,Yes,10
PERF0000048,EMP00024,2025-H2,5,3.8,71,30,No,8
PERF0000049,EMP00025,2025-H1,5,3.75,85,24,Yes,15
PERF0000050,EMP00025,2025-H2,5,2.85,81,32,Yes,15
PERF0000051,EMP00026,2025-H1,3,2.91,90,49,No,0
PERF0000052,EMP00026,2025-H2,4,4.15,64,43,Yes,8
PERF0000053,EMP00027,2025-H1,3,3.23,63,48,Yes,0
PERF0000054,EMP00027,2025-H2,3,3.26,65,13,No,12
PERF0000055,EMP00028,2025-H1,4,4.03,68,55,No,5
PERF0000056,EMP00028,2025-H2,4,2.99,72,31,Yes,12
PERF0000057,EMP00029,2025-H1,2,4.37,88,38,No,8
PERF0000058,EMP00029,2025-H2,4,2.55,99,8,Yes,15
PERF0000059,EMP00030,2025-H1,5,2.67,95,9,Yes,5
PERF0000060,EMP00030,2025-H2,5,4.92,99,25,Yes,10
PERF0000061,EMP00031,2025-H1,3,4.87,96,47,Yes,10
PERF0000062,EMP00031,2025-H2,4,4.99,70,31,Yes,12
PERF0000063,EMP00032,2025-H1,3,3.13,87,17,No,12
PERF0000064,EMP00032,2025-H2,5,2.84,60,49,No,8
PERF0000065,EMP00033,2025-H1,2,3.05,60,5,Yes,15
PERF0000066,EMP00033,2025-H2,4,3.89,79,55,Yes,12
PERF0000067,EMP00034,2025-H1,3,2.53,69,43,Yes,0
PERF0000068,EMP00034,2025-H2,2,3.87,89,51,No,8
PERF0000069,EMP00035,2025-H1,2,2.63,93,49,Yes,8
PERF0000070,EMP00035,2025-H2,5,3.1,78,47,Yes,15
PERF0000071,EMP00036,2025-H1,4,3.37,98,24,Yes,8
PERF0000072,EMP00036,2025-H2,5,4.06,83,26,No,8
PERF0000073,EMP00037,2025-H1,3,2.61,65,57,Yes,5
PERF0000074,EMP00037,2025-H2,4,4.13,81,31,No,15
PERF0000075,EMP00038,2025-H1,5,4.96,79,9,No,8
PERF0000076,EMP00038,2025-H2,5,3.8,70,27,Yes,8
PERF0000077,EMP00039,2025-H1,4,3.4,93,34,No,10
PERF0000078,EMP00039,2025-H2,3,4.1,63,56,No,0
